Player,Team,Position,Bye,Projected,Actual,Passing Yds,Passing TD,Int,Rushing Yds,Rushing TD,Receiving Yds,Receiving TD,Ret TD,Misc 2pt,Fum Lost,Fan Pts
Chris Johnson,Ten,RB,9,1,1,0,0,0,2006,14,503,2,0,1,3,329
Adrian Peterson,Min,RB,4,2,3,0,0,0,1383,18,436,0,0,0,6,265
Maurice Jones-Drew,Jac,RB,9,3,4,0,0,0,1391,15,374,1,0,0,1,259
Ray Rice,Bal,RB,8,4,11,0,0,0,1339,7,702,1,0,0,3,228
Michael Turner,Atl,RB,8,5,63,0,0,0,871,10,35,0,0,0,2,141
Frank Gore,SF,RB,9,6,15,0,0,0,1120,10,406,3,0,0,2,214
Andre Johnson,Hou,WR,7,7,16,0,0,0,10,0,1569,9,0,1,0,205
Ryan Mathews,SD,RB,10,8,-,-,-,-,-,-,-,-,-,-,-,-
Randy Moss,NE,WR,5,9,21,0,0,0,0,0,1264,13,0,1,1,196
Reggie Wayne,Ind,WR,7,10,35,0,0,1,0,0,1264,10,0,0,0,177
Shonn Greene,NYJ,RB,7,11,243,0,0,0,540,2,0,0,0,0,3,55
Steven Jackson,StL,RB,9,12,30,0,0,0,1416,4,322,0,0,0,2,180
Rashard Mendenhall,Pit,RB,5,13,43,0,0,0,1108,7,261,1,0,0,3,165
Calvin Johnson,Det,WR,7,14,82,0,0,0,73,0,984,5,0,0,2,124
DeAngelo Williams,Car,RB,6,15,45,0,0,0,1117,7,252,0,0,1,3,166
Aaron Rodgers,GB,QB,10,16,2,4434,30,7,316,5,0,0,0,3,4,357
Drew Brees,NO,QB,10,17,5,4388,34,11,33,2,-4,0,0,0,6,314
Brandon Marshall,Mia,WR,5,18,42,0,0,0,39,0,1120,10,0,0,0,166
Roddy White,Atl,WR,8,19,39,0,0,0,2,0,1153,11,0,0,0,174
Larry Fitzgerald,Ari,WR,6,20,33,0,0,0,0,0,1092,13,0,0,0,180
Peyton Manning,Ind,QB,7,21,7,4500,33,16,-13,0,0,0,0,0,0,305
Ryan Grant,GB,RB,10,22,20,0,0,0,1253,11,197,0,0,0,1,197
Miles Austin,Dal,WR,4,23,24,0,0,0,-2,0,1320,11,0,0,0,199
Cedric Benson,Cin,RB,6,24,46,0,0,0,1251,6,111,0,0,0,0,163
Pierre Thomas,NO,RB,10,25,58,0,0,0,793,6,302,2,0,0,1,148
Beanie Wells,Ari,RB,6,26,85,0,0,0,793,7,143,0,0,0,2,121
DeSean Jackson,Phi,WR,8,27,23,0,0,0,137,1,1167,9,2,0,1,206
Jahvid Best,Det,RB,7,28,-,-,-,-,-,-,-,-,-,-,-,-
Tony Romo,Dal,QB,4,29,10,4483,26,9,105,1,0,0,0,0,4,293
Greg Jennings,GB,WR,10,30,72,0,0,0,0,0,1113,4,0,2,0,133
Steve Smith,Car,WR,6,31,62,0,0,0,22,0,982,7,0,1,0,136
Marques Colston,NO,WR,10,32,52,0,0,0,6,0,1074,9,0,0,2,150
LeSean McCoy,Phi,RB,8,33,102,0,0,0,637,4,308,0,0,1,1,103
Jamaal Charles,KC,RB,4,34,32,0,0,0,1120,7,297,1,1,1,3,218
Jonathan Stewart,Car,RB,6,35,36,0,0,0,1133,10,139,1,0,0,2,178
Matt Schaub,Hou,QB,7,36,6,4770,29,15,57,0,0,0,0,1,2,298
Anquan Boldin,Bal,WR,8,37,83,0,0,0,12,1,1024,4,0,0,2,121
Tom Brady,NE,QB,5,38,9,4398,28,13,44,1,0,0,0,1,2,289
Steve Smith,NYG,WR,8,39,49,0,0,0,0,0,1220,7,0,0,0,158
Ronnie Brown,Mia,RB,5,40,91,22,1,0,648,8,98,0,0,0,1,119
Dallas Clark,Ind,TE,7,41,28,0,0,0,11,0,1106,10,0,0,0,163
Chad Ochocinco,Cin,WR,6,42,53,0,0,0,32,0,1047,9,0,0,2,148
Sidney Rice,Min,WR,4,43,41,0,0,0,0,0,1312,8,0,0,1,169
Antonio Gates,SD,TE,10,44,37,0,0,0,0,0,1157,8,0,0,0,156
Joseph Addai,Ind,RB,7,45,26,22,1,0,828,10,336,3,0,0,1,183
Philip Rivers,SD,QB,10,46,13,4254,28,9,50,1,0,0,0,0,3,286
Vernon Davis,SF,TE,9,47,25,0,0,0,0,0,965,13,0,0,0,168
Hakeem Nicks,NYG,WR,8,48,99,0,0,0,8,0,790,6,0,0,0,109
Knowshon Moreno,Den,RB,9,49,51,0,0,0,947,7,213,2,0,0,4,149
Dwayne Bowe,KC,WR,4,50,166,0,0,0,0,0,589,4,0,0,0,79
Michael Bush,Oak,RB,10,51,173,0,0,0,589,3,105,0,0,0,2,72
Hines Ward,Pit,WR,5,52,59,0,0,0,0,0,1167,6,0,0,1,143
Jermichael Finley,GB,TE,10,53,100,0,0,0,0,0,676,5,0,0,1,90
Felix Jones,Dal,RB,4,54,146,0,0,0,685,3,119,0,0,0,2,114
Mike Sims-Walker,Jac,WR,9,55,87,0,0,0,0,0,869,7,0,0,1,120
Michael Crabtree,SF,WR,9,56,187,0,0,0,0,0,625,2,0,0,1,67
Marion Barber,Dal,RB,4,57,60,0,0,0,932,7,221,0,0,0,2,144
Percy Harvin,Min,WR,4,58,70,0,0,0,135,0,790,6,2,0,0,183
Thomas Jones,KC,RB,4,59,14,0,0,0,1402,14,58,0,0,0,0,221
Jeremy Maclin,Phi,WR,8,60,135,0,0,0,-7,0,762,4,0,0,0,100
Tony Gonzalez,Atl,TE,8,61,66,0,0,0,0,0,867,6,0,0,0,117
Jason Witten,Dal,TE,4,62,78,0,0,0,0,0,1030,2,0,0,0,107
Justin Forsett,Sea,RB,5,63,92,0,0,0,619,4,350,1,0,0,1,132
Reggie Bush,NO,RB,10,64,105,0,0,0,390,5,335,3,0,0,2,106
Ahmad Bradshaw,NYG,RB,8,65,80,0,0,0,778,7,207,0,0,0,2,128
Wes Welker,NE,WR,5,66,50,0,0,0,36,0,1348,4,0,0,0,170
Kevin Kolb,Phi,QB,8,67,1565,741,4,3,-1,1,0,0,0,0,1,46
Jay Cutler,Chi,QB,8,68,17,3666,27,26,173,1,0,0,0,2,1,243
Matt Forte,Chi,RB,8,69,55,0,0,0,929,4,471,0,0,1,3,150
Brett Favre,Min,QB,4,70,8,4202,33,7,7,0,-2,0,0,0,2,307
Fred Jackson,Buf,RB,6,71,47,27,1,0,1062,2,371,2,0,0,2,205
Pierre Garcon,Ind,WR,7,72,130,0,0,0,10,0,765,4,0,0,0,95
Ricky Williams,Mia,RB,5,73,18,0,0,1,1121,11,264,2,0,1,2,197
Brandon Jacobs,NYG,RB,8,74,81,0,0,0,835,5,184,1,0,0,1,125
Santana Moss,Was,WR,9,75,116,0,0,0,8,0,902,3,0,0,1,97
Brent Celek,Phi,TE,8,76,48,0,0,0,0,0,971,8,0,0,0,137
Clinton Portis,Was,RB,9,77,218,0,0,0,494,1,57,1,0,0,1,58
Malcom Floyd,SD,WR,10,78,162,0,0,0,0,0,776,1,0,0,0,77
Jerome Harrison,Cle,RB,8,79,64,0,0,0,862,5,220,2,0,0,2,138
Eli Manning,NYG,QB,8,80,19,4021,27,14,65,0,0,0,0,0,8,247
